id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs,fccs_number
RX173,RXFires,26.837,-98.587,RX,1.0,201608010000Z,10.0,TX,USA,48247,2810015000,0.2,0.2,0.5,0.0,0.0,0.0,0.36,0.14,0.0,0.0,0.06,10.0,12.0,12.0,22.0,130.0,150.0,1.15677084244,0.0863500633735,0.010055,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,73897.414461,0.010023999999999996,0.011823999999999994,0.10330300000000002,2.0425650000000015,0.005369000000000001,0.0028850000000000013,0.0017229999999999993,0.0012259999999999999,0.024785999999999996,Live oak / Sea oats savanna,1.47,173,173
RX174,RXFires,30.321583,-87.766907,RX,1.0,201608010000Z,10.0,AL,USA,01003,2810015000,0.5,0.5,0.5,1.5,1.0,0.0,3.75,0.14,0.0,0.75,0.06,10.0,12.0,12.0,22.0,130.0,150.0,5.64102158409,0.597212637062,0.11942308881,0.000123065789988,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,362650.70837999997,0.052981,0.06251399999999999,0.5555070000000001,10.303643,0.028611,0.014297999999999998,0.009246999999999998,0.0062270000000000025,0.132939,Live oak - Sabal palm forest,10.38,174,174
RX175,RXFires,29.857,-89.525,RX,1.0,201608010000Z,10.0,LA,USA,22087,2810015000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,12.5,1.4,10.0,12.0,12.0,22.0,130.0,150.0,4.33162,11.97706,41.69632,53.6204,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,557107.6484080001,0.921441,1.087294,11.553632,81.68363199999999,0.5445430000000002,0.059067999999999996,0.187715,0.05668399999999999,2.698338000000001,Smooth cordgrass - Black needlerush grassland,0.0,175,175
RX176,RXFires,43.167423,-76.188907,RX,1.0,201608010000Z,10.0,NY,USA,36067,2810015000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,19.0,1.4,10.0,12.0,12.0,22.0,130.0,150.0,5.45912,63.6804797246,234.719998898,298.799998623,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1903745.8020249999,4.987045,5.884709,62.89356300000001,423.38684099999995,2.956153,0.28330299999999997,1.021081,0.2968530000000001,14.678018999999999,Smooth Cordgrass - Black needlerush grassland with common reed invasion,0.0,176,176
RX180,RXFires,32.594,-89.059,RX,1.0,201608010000Z,10.0,MS,USA,28099,2810015000,0.4,0.7,1.4,1.8,1.8,0.0,0.6,0.19,1.2,2.0,0.06,10.0,12.0,12.0,22.0,130.0,150.0,4.99633812591,1.06283501383,0.679510990194,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,328744.7926229999,0.065301,0.07706299999999999,0.7242689999999997,10.665874999999996,0.036258000000000006,0.013668999999999995,0.011966,0.006602,0.17193,Red maple - Oak - Hickory - Sweetgum forest,12.15,180,180
RX184,RXFires,29.244,-81.764,RX,1.0,201608010000Z,10.0,FL,USA,12083,2810015000,0.1,0.5,1.0,0.8,0.0,0.0,2.1,0.12,0.2,1.25,0.08,10.0,12.0,12.0,22.0,130.0,150.0,1.97252704191,0.179651795169,0.0617969570402,0.000115591881711,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,126426.749442,0.018376,0.021678999999999997,0.19230499999999998,3.590087,0.009916999999999994,0.004989000000000002,0.0031970000000000006,0.00217,0.04603399999999999,Longleaf pine / Turkey oak forest,16.25,184,184
RX185,RXFires,30.619,-83.96,RX,1.0,201608010000Z,10.0,FL,USA,12065,2810015000,0.1,0.2,0.2,0.1,0.0,0.0,0.24,0.12,0.0,0.4,0.08,10.0,12.0,12.0,22.0,130.0,150.0,0.84882493525,0.0624821966304,0.00734966670189,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,54213.618367999996,0.0073430000000000014,0.008658999999999997,0.07561400000000003,1.4975489999999998,0.003930000000000003,0.0021140000000000004,0.0012619999999999995,0.000893,0.018142000000000002,Longleaf pine / Turkey oak forest with prescribed fire,4.65,185,185
RX186,RXFires,33.029,-82.326,RX,1.0,201608010000Z,10.0,GA,USA,13163,2810015000,0.2,0.5,0.14,0.3,0.5,0.0,0.58,0.06,0.2,0.75,0.04,10.0,12.0,12.0,22.0,130.0,150.0,1.7657807573,0.337662901081,0.294404610526,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,115664.84826,0.023347,0.027546,0.2593420000000001,3.7918750000000006,0.012971000000000002,0.004849000000000003,0.0042860000000000025,0.002347,0.061546999999999984,Turkey oak - Bluejack oak forest,12.87,186,186
RX188,RXFires,26.915985,-81.015666,RX,1.0,201608010000Z,10.0,FL,USA,12043,2810015000,0.4,0.6,0.4,1.1,0.0,0.0,2.09,0.0,0.0,1.0,0.0,10.0,12.0,12.0,22.0,130.0,150.0,1.82079746867,0.138896961926,0.00939234609156,0.000397704021537,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,116357.47959999999,0.015718000000000003,0.018547,0.16188500000000006,3.210294,0.008417999999999997,0.004545,0.002699,0.0019269999999999997,0.03884000000000002,Sand pine - Oak forest,4.76,188,188
RX19,RXFires,42.468497,-120.793708,RX,1.0,201608010000Z,10.0,OR,USA,41037,2810015000,0.5,1.5,3.0,0.5,4.0,19.0,0.05,0.01,11.2,2.1,0.0,10.0,12.0,12.0,22.0,130.0,150.0,9.7569536144,6.87617173142,7.69386130397,0.328148264697,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,723670.855498,0.312836,0.36915500000000007,3.755503000000001,36.35015699999999,0.18073799999999993,0.03681599999999999,0.06136,0.023809000000000004,0.8820160000000001,White fir - Giant sequoia - Sugar pine forest,18.39,19,19
