id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number
WF66,Wildfires,45.961,-109.472,WF,100.0,201608010000Z,10.0,MT,USA,30095,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.86,0.0,2.7,0.15,7.0,8.0,9.0,12.0,80.0,40.0,1.09412778474,4.71883170724,15.7434051901,20.5192564876,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,682257316.723308,34.748496,41.00322900000002,436.7873620000001,3024.282207999997,20.56214099999999,2.1183370000000004,7.094203999999997,2.1077649999999997,101.97900300000003,Bluebunch wheatgrass - Bluegrass grassland,0.0,66
WF67,Wildfires,45.875,-107.412,WF,100.0,201608010000Z,10.0,MT,USA,30003,2810001000,0.5,1.4,1.2,4.0,2.0,0.0,1.6,0.56,2.6,2.0,0.19,7.0,8.0,9.0,12.0,80.0,40.0,15.5928631596,10.5812735722,9.90015123243,12.6760628701,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,4422263679.34017,45.36540399999999,53.53117000000002,541.6693959999994,5421.313898999999,26.13733900000002,5.6304120000000015,8.856006000000002,3.532273,127.304972,Interior ponderosa pine - Douglas-fir forest,5.76,67
WF7,Wildfires,41.255,-121.901,WF,100.0,201608010000Z,10.0,CA,USA,06093,2810001000,1.0,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,1.3,0.0,7.0,8.0,9.0,12.0,80.0,40.0,20.0767200666,10.6456078528,14.6704603958,6.75140153251,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,5495119695.268624,56.64618800000004,66.84249200000001,675.1402070000001,6832.471724999998,32.606501000000016,7.153145000000003,11.040798000000002,4.444059000000001,158.7115280000001,Douglas-fir - Sugar pine - Tanoak forest,19.3,7
WF70,Wildfires,41.014,-106.68,WF,100.0,201608010000Z,10.0,WY,USA,56007,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,6233927834.596859,58.45366399999997,68.97531400000004,693.4712780000003,7216.043715000004,33.56741500000001,7.703383000000002,11.347499999999997,4.6735739999999995,163.1201970000001,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70
WF8,Wildfires,46.22,-121.348,WF,100.0,201608010000Z,10.0,WA,USA,53077,2810001000,1.0,2.0,4.0,10.0,20.0,10.0,0.73,0.02,17.0,5.0,0.01,7.0,8.0,9.0,12.0,80.0,40.0,32.3735433163,37.3046870706,59.5752987565,68.8374867807,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,10305337136.149605,184.39276599999997,217.5834680000001,2264.218994,18811.18995,107.786341,16.614391000000005,36.884305,12.648813,530.2118919999999,Western hemlock - Douglas-fir - Western redcedar / Vine maple forest,16.89,8
WF88,Wildfires,60.245,-153.852,WF,100.0,201608010000Z,10.0,Unknown,Unknown,02164,2810001000,0.2,0.3,1.0,1.0,0.0,0.0,0.32,0.03,1.0,35.0,0.01,7.0,8.0,9.0,12.0,80.0,40.0,35.2326563131,95.1300759274,27.3246358564,133.402166722,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,14453617782.469587,229.17523099999997,270.4267759999999,2824.2099970000013,22859.450113999996,134.21363700000006,19.637484999999995,45.985512,15.44505699999999,661.0416689999997,Black spruce / sphagnum moss forest,0.56,88
WF9,Wildfires,46.017,-121.753,WF,100.0,201608010000Z,10.0,WA,USA,53059,2810001000,1.5,2.6,2.5,2.0,3.7,7.0,2.23,0.14,32.7,1.5,0.02,7.0,8.0,9.0,12.0,80.0,40.0,19.0893555815,15.8028836496,22.7881276504,10.1697019831,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,5639398629.083858,77.96458400000002,91.99820300000006,946.4573799999995,8515.398411999995,45.304302,8.117278000000002,15.44062900000001,5.645778,221.95915200000002,Douglas-fir - Western Hemlock - Western redcedar / Vine maple forest,10.6,9
WF90,Wildfires,34.369,-93.663,WF,100.0,201608010000Z,10.0,AR,USA,05097,2810001000,1.0,1.4,1.5,5.0,4.0,0.0,0.38,0.01,1.0,2.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,13.9197194653,3.6257716646,1.41513770545,1.54768,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,3550053333.379936,18.510316999999986,21.842169999999992,205.77126699999997,2997.9624750000016,10.287381000000005,3.825883999999999,3.3970229999999995,1.857710000000001,48.832098,White oak - Northern red oak forest,14.44,90
WF900,Wildfires,46.633,-117.39,WF,100.0,201608010000Z,10.0,WA,USA,53075,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,18.8547195697,6.13392774771,2.48680690873,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,4884445320.231577,28.05142900000001,33.10069499999999,316.35406600000016,4310.321731999999,15.701844000000003,5.344898999999998,5.212165999999997,2.691835,74.92482400000004,Water,0.0,900
WF93,Wildfires,66.793,-153.512,WF,100.0,201608010000Z,10.0,Unknown,Unknown,02290,2810001000,0.3,0.4,0.8,3.0,3.0,0.0,0.36,0.02,2.0,4.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,13.4622662821,7.84498801086,3.54621999578,6.20464354362,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,3718365827.8260818,28.72816199999999,33.89922799999998,335.78084399999983,3806.2280859999987,16.372616999999998,4.291187999999998,5.505387000000002,2.434559000000001,79.13997799999997,Paper birch - quaking aspen forest,12.28,93
