id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,event_url,fccs_number,sf_event_guid,sf_server,sf_stream_name
SF11C18881120013307560,SF11E106260,36.87,-120.237,WF,499.999998758,201507150000Z,10.0,CA,USA,06039,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,12034622143.928415,24.963756999999998,29.457219000000002,268.667553,4499.1000109999995,13.655061000000005,6.046471000000001,4.4557709999999995,2.7469820000000014,64.051675,Urban,0.0,http://128.208.123.111/smartfire/events/b52f0ddd-ea6a-4fe1-9953-cbd116552aa4,0,b52f0ddd-ea6a-4fe1-9953-cbd116552aa4,128.208.123.111,realtime
SF11C18881220013307560,SF11E106290,37.039,-120.303,WF,99.9999997516,201507150000Z,10.0,CA,USA,06039,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1139782670.097083,4.992754000000001,5.891440000000001,53.733511000000014,899.8200079999999,2.731011000000001,1.2092999999999994,0.89115,0.549395,12.810334999999993,Urban,0.0,http://128.208.123.111/smartfire/events/181a0a38-952c-45f1-88fa-1f4925940db1,0,181a0a38-952c-45f1-88fa-1f4925940db1,128.208.123.111,realtime
SF11C18881320013307560,SF11E106260,36.874,-120.275,WF,199.999999503,201507150000Z,10.0,CA,USA,06039,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2549517914.99354,9.985501999999995,11.782883999999996,107.46701699999998,1799.6400089999993,5.462016000000002,2.4185870000000005,1.7823089999999997,1.0987910000000007,25.620673999999994,Urban,0.0,http://128.208.123.111/smartfire/events/b52f0ddd-ea6a-4fe1-9953-cbd116552aa4,0,b52f0ddd-ea6a-4fe1-9953-cbd116552aa4,128.208.123.111,realtime
SF11C18881420013307560,SF11E106324,44.889,-122.827,WF,99.9999997516,201507150000Z,10.0,OR,USA,41047,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1139782670.097083,4.992754000000001,5.891440000000001,53.733511000000014,899.8200079999999,2.731011000000001,1.2092999999999994,0.89115,0.549395,12.810334999999993,Urban,0.0,http://128.208.123.111/smartfire/events/0f6013ea-3c2e-44bc-9efc-f3045add5a17,0,0f6013ea-3c2e-44bc-9efc-f3045add5a17,128.208.123.111,realtime
SF11C18881520013307560,SF11E106340,44.712,-122.784,WF,99.9999997516,201507150000Z,10.0,OR,USA,41043,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1139782670.097083,4.992754000000001,5.891440000000001,53.733511000000014,899.8200079999999,2.731011000000001,1.2092999999999994,0.89115,0.549395,12.810334999999993,Urban,0.0,http://128.208.123.111/smartfire/events/314bd5fe-2d19-46e5-941b-f18dfe2a0dec,0,314bd5fe-2d19-46e5-941b-f18dfe2a0dec,128.208.123.111,realtime
SF11C18881620013307560,SF11E106322,44.751,-122.796,WF,99.9999997516,201507150000Z,10.0,OR,USA,41043,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1139782670.097083,4.992754000000001,5.891440000000001,53.733511000000014,899.8200079999999,2.731011000000001,1.2092999999999994,0.89115,0.549395,12.810334999999993,Urban,0.0,http://128.208.123.111/smartfire/events/18989707-3c5f-4e50-a4d3-68cb9faf34a9,0,18989707-3c5f-4e50-a4d3-68cb9faf34a9,128.208.123.111,realtime
SF11C18881720013307560,SF11E106332,41.902,-121.983,WF,199.999999503,201507150000Z,10.0,CA,USA,06093,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.11,0.0,0.0,0.09,7.0,8.0,9.0,12.0,80.0,40.0,0.620784150908,0.0455434978896,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,338812607.525502,1.055355,1.24531,10.828330000000001,217.51001499999995,0.564163,0.308729,0.180849,0.13060699999999997,2.599687,Sagebrush Shrubland - Sparse,0.0,http://128.208.123.111/smartfire/events/f6d0bd65-ce56-409e-87cd-f7ffe0b5556f,60,f6d0bd65-ce56-409e-87cd-f7ffe0b5556f,128.208.123.111,realtime
SF11C18881820013307560,SF11E106305,40.483,-122.21,WF,299.999999255,201507150000Z,10.0,CA,USA,06089,2810001000,0.2,0.3,0.1,0.0,0.0,0.0,0.58,0.18,0.1,0.5,0.02,7.0,8.0,9.0,12.0,80.0,40.0,7.65352813275,0.56956488396,0.0522713920926,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,7801045270.520641,19.817138000000007,23.384218999999995,204.044119,4047.6044179999985,10.611305000000003,5.725778,3.4060300000000003,2.432899,48.961679999999994,California Central Valley riparian woodland or shrubland,12.89,http://128.208.123.111/smartfire/events/0137309f-42f6-4b5d-b1e4-1b45b249f1f9,301,0137309f-42f6-4b5d-b1e4-1b45b249f1f9,128.208.123.111,realtime
SF11C18881920013307560,SF11E106287,45.304,-123.935,WF,45.9999998858,201507150000Z,10.0,OR,USA,41057,2810001000,1.0,2.0,4.0,10.0,20.0,10.0,0.73,0.02,17.0,5.0,0.01,7.0,8.0,9.0,12.0,80.0,40.0,32.3735433163,37.3046870706,59.5752987565,68.8374867807,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,4166365523.403309,84.82068000000004,100.08839800000004,1041.5407349999994,8653.147353000004,49.58170999999998,7.642613000000006,16.966777000000008,5.8184479999999965,243.89746999999994,Western hemlock - Douglas-fir - Western redcedar / Vine maple forest,16.89,http://128.208.123.111/smartfire/events/f375ea15-10a8-467d-9168-3ab0035c20c0,8,f375ea15-10a8-467d-9168-3ab0035c20c0,128.208.123.111,realtime
SF11C18882020013307560,SF11E106326,33.236,-92.213,RX,74.9999998137,201507150000Z,10.0,AR,USA,05011,2810015000,0.1,0.2,1.5,1.5,1.5,0.0,1.9,0.01,1.0,1.0,0.0,10.0,12.0,12.0,22.0,130.0,150.0,4.19817649732,0.755319465083,0.532148604253,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1056593621.3351381,3.895518,4.596711000000002,42.862628,653.721603,2.1540499999999994,0.849501,0.7086319999999999,0.4030350000000001,10.186515000000004,Willow oak - Laurel oak - Water oak forest,23.15,http://128.208.123.111/smartfire/events/a58e55f3-b73b-49ee-b425-16450b96d85b,283,a58e55f3-b73b-49ee-b425-16450b96d85b,128.208.123.111,realtime
