id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number,timezone
20170908_f542,20170908_f542,47.8949999875,-115.318000004,WF,46.0,201709080000-06:00,10.0,MT,USA,30053,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2558466307.47308,26.915659,31.760496999999994,319.3376409999999,3321.638707,15.457020000000005,3.545033,5.225387000000001,2.1514450000000003,75.114829,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-7.0
20170908_f543,20170908_f543,48.0829999876,-113.037000003,WF,46.0,201709080000-06:00,10.0,MT,USA,30099,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2558466307.47308,26.915659,31.760496999999994,319.3376409999999,3321.638707,15.457020000000005,3.545033,5.225387000000001,2.1514450000000003,75.114829,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-7.0
20170908_f544,20170908_f544,48.0500111155,-96.5951000657,WF,300.0,201709080000-05:00,10.0,MN,USA,27119,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,4758220260.754637,14.985391,17.682763999999995,161.29071099999996,2700.0611679999993,8.197265999999997,3.6282760000000005,2.674925000000001,1.6486070000000002,38.452054000000004,Default Unknown Fuel Type,0.0,0,-6.0
20170908_f545,20170908_f545,47.8889999112,-115.29800003,WF,46.0,201709080000-06:00,10.0,MT,USA,30053,2810001000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.5342169728,4.11581184289,3.07629591419,2.67918384103,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,1312981831.025819,9.699945999999997,11.445916,110.913474,1412.056454,5.467213000000002,1.6957020000000003,1.823925,0.889266,26.218819999999997,Douglas-fir - ponderosa pine forest,13.52,52,-7.0
20170908_f546,20170908_f546,48.2589999878,-109.541000002,WF,200.0,201709080000-06:00,10.0,MT,USA,30005,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.86,0.0,1.7,0.15,7.0,8.0,9.0,12.0,80.0,40.0,1.09412778474,4.71883170724,15.7434051901,20.5192564876,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2209891143.46861,69.65863299999998,82.19718800000001,875.616733,6062.103226,41.22019399999999,4.245493,14.221532999999999,4.225047000000001,204.43448100000003,Bluebunch wheatgrass - Bluegrass grassland,0.0,66,-7.0
20170908_f547,20170908_f547,48.2470333657,-109.569409368,WF,600.0,201709080000-06:00,10.0,MT,USA,30005,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.11,0.0,0.0,0.09,7.0,8.0,9.0,12.0,80.0,40.0,0.620784150908,0.0455434978896,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2251520562.6635766,3.1660720000000007,3.735959,32.485077000000004,652.531442,1.692486,0.926184,0.5425389999999999,0.39180800000000005,7.799070999999999,Sagebrush Shrubland - Sparse,0.0,60,-7.0
20170908_f548,20170908_f548,48.243492414,-109.532043808,WF,1200.0,201709080000-06:00,10.0,MT,USA,30005,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.11,0.0,0.0,0.09,7.0,8.0,9.0,12.0,80.0,40.0,0.620784150908,0.0455434978896,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,5719946195.62796,6.332133000000001,7.471921,64.970133,1305.062885,3.3849699999999996,1.852386,1.0850920000000004,0.783594,15.598163,Sagebrush Shrubland - Sparse,0.0,60,-7.0
20170908_f549,20170908_f549,47.918999911,-115.31600003,WF,46.0,201709080000-06:00,10.0,MT,USA,30053,2810001000,0.3,1.2,2.5,12.0,7.0,0.0,1.11,0.14,14.2,1.2,0.06,7.0,8.0,9.0,12.0,80.0,40.0,22.3092947139,13.9895871641,11.4259617425,3.78399884055,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2558466307.47308,26.915659,31.760496999999994,319.3376409999999,3321.638707,15.457020000000005,3.545033,5.225387000000001,2.1514450000000003,75.114829,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,9.55,70,-7.0
20170908_f55,20170908_f55,31.2117936158,-95.0280723027,WF,140.0,201709080000-05:00,10.0,TX,USA,48455,2810001000,0.1,0.2,1.5,1.5,1.5,0.0,1.9,0.01,1.0,1.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,15.7335156015,1.95762576327,0.872007034039,0.14628,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,5556105258.721077,22.62434899999999,26.696717999999997,241.39204400000003,4185.6481060000015,12.32348,5.690217000000001,4.008418000000001,2.5468660000000005,57.62099399999999,Willow oak - Laurel oak - Water oak forest,23.15,283,-6.0
20170908_f550,20170908_f550,48.1042136026,-113.010252984,WF,46.0,201709080000-06:00,10.0,MT,USA,30073,2810001000,0.1,0.4,1.7,4.4,13.6,0.0,0.43,0.12,24.9,1.3,0.08,7.0,8.0,9.0,12.0,80.0,40.0,19.414114857,16.4475081102,18.2295251116,4.26904193903,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2414060053.1716976,33.03182200000001,38.977559,399.2924949999999,3695.425937,19.152319000000006,3.609575000000001,6.517709999999999,2.4384259999999998,93.69203399999998,Whitebark pine / Subalpine fir forest,11.45,61,-7.0
